CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Roseville,#e06666,"147,773",3,California,95.00,64,260,175.95,69,67.00%,50,August,488.00,167,24.00,70,1985,110,"3,208.00",104
Danbury,#e06666,"86,518",39,Connecticut,95.17,65,110,127.14,117,100.00%,39,March,"1,323.00",36,15.00,190,1968,27,"2,062.00",162
Long Beach,#e06666,"466,742",3,California,96.00,66,480,102.84,145,14.00%,97,June,218.00,207,23.00,81,1969,31,"9,205.00",15
Waterbury,#e06666,"114,403",39,Connecticut,96.17,67,120,104.89,141,0.00%,117,April,"1,319.00",39,16.00,170,1972,46,"4,301.00",64
Houston,#e06666,"2,304,580",1,Texas,97.17,68,980,42.52,207,58.00%,59,November,"1,507.00",15,27.00,17,1996,194,"3,613.00",91
Louisville,#e06666,"633,045",16,Kentucky,97.33,69,460,72.66,188,300.00%,8,September,"1,351.00",31,20.00,116,1979,74,"1,948.00",167
Birmingham,#e06666,"200,733",25,Alabama,97.33,70,400,199.27,50,0.00%,118,March,"1,440.00",20,23.00,74,1986,125,"1,365.40",197
Manchester,#e06666,"115,644",47,New Hampshire,98.00,71,380,328.59,11,0.00%,119,April,"1,188.00",92,15.00,193,1979,77,"3,497.00",96
Lansing,#f6b26b,"112,644",11,Michigan,98.17,72,200,177.55,68,100.00%,40,November,954.00,143,14.00,207,1974,53,"3,877.00",78
Ontario,#f6b26b,"175,265",3,California,98.17,73,290,165.46,77,67.00%,51,September,273.00,196,26.00,45,1987,137,"3,775.00",83
Round Rock,#f6b26b,"119,468",1,Texas,98.33,74,320,267.85,27,80.00%,47,February,907.00,152,26.00,44,2003,214,"3,174.00",106
Lodi,#f6b26b,"66,348",3,California,98.50,75,130,195.94,54,0.00%,120,October,375.00,184,24.00,72,1985,112,"4,860.00",49
Albany,#f6b26b,"99,224",4,New York,98.67,76,310,312.42,15,-50.00%,184,August,"1,120.00",105,15.00,194,1971,42,"4,730.00",52
Tallahassee,#f6b26b,"196,169",2,Florida,98.83,77,260,132.54,109,0.00%,121,March,"1,449.00",19,27.00,19,1990,156,"1,926.00",169
Santa Barbara,#f6b26b,"88,665",3,California,99.00,78,250,281.96,20,-50.00%,185,February,388.00,183,22.00,99,1974,51,"4,546.00",56
